
time_s,engine_rpm,tank_oil_volume_L
0.0,1000.0,8.0
0.001,1000.0,8.0
0.002,1000.0,8.0
0.003,1000.0,8.0
0.004,1000.0,8.0
0.005,1000.0,8.0
0.006,1000.0,8.0
0.007,1000.0,8.0
0.008,1000.0,8.0
0.009000000000000001,1000.0,8.0
0.01,1000.0,8.0
0.011,1000.0,8.0
0.012,1000.0,8.0
0.013000000000000001,1000.0,8.0
0.014,1000.0,8.0
0.015,1000.0,8.0
0.016,1000.0,8.0
0.017,1000.0,8.0
0.018000000000000002,1000.0,8.0
0.019,1000.0,8.0
0.02,1000.0,8.0
0.021,1000.0,8.0
0.022,1000.0,8.0
0.023,1000.0,8.0
0.024,1000.0,8.0
0.025,1000.0,8.0
0.026000000000000002,1000.0,8.0
0.027,1000.0,8.0
0.028,1000.0,8.0
0.029,1000.0,8.0
0.03,1000.0,8.0
0.031,1000.0,8.0
0.032,1000.0,8.0
0.033,1000.0,8.0
0.034,1000.0,8.0
0.035,1000.0,8.0
0.036000000000000004,1000.0,8.0
0.037,1000.0,8.0
0.038,1000.0,8.0
0.039,1000.0,8.0
0.04,1000.0,8.0
0.041,1000.0,8.0
0.042,1000.0,8.0
0.043000000000000003,1000.0,8.0
0.044,1000.0,8.0
0.045,1000.0,8.0
0.046,1000.0,8.0
0.047,1000.0,8.0
0.048,1000.0,8.0
0.049,1000.0,8.0
0.05,1000.0,8.0
0.051000000000000004,1000.0,8.0
0.052000000000000005,1000.0,8.0
0.053,1000.0,8.0
0.054,1000.0,8.0
0.055,1000.0,8.0
0.056,1000.0,8.0
0.057,1000.0,8.0
0.058,1000.0,8.0
0.059000000000000004,1000.0,8.0
0.06,1000.0,8.0
0.061,1000.0,8.0
0.062,1000.0,8.0
0.063,1000.0,8.0
0.064,1000.0,8.0
0.065,1000.0,8.0
0.066,1000.0,8.0
0.067,1000.0,8.0
0.068,1000.0,8.0
0.069,1000.0,8.0
0.07,1000.0,8.0
0.07100000000000001,1000.0,8.0
0.07200000000000001,1000.0,8.0
0.073,1000.0,8.0
0.074,1000.0,8.0
0.075,1000.0,8.0
0.076,1000.0,8.0
0.077,1000.0,8.0
0.078,1000.0,8.0
0.079,1000.0,8.0
0.08,1000.0,8.0
0.081,1000.0,8.0
0.082,1000.0,8.0
0.083,1000.0,8.0
0.084,1000.0,8.0
0.085,1000.0,8.0
0.08600000000000001,1000.0,8.0
0.08700000000000001,1000.0,8.0
0.088,1000.0,8.0
0.089,1000.0,8.0
0.09,1000.0,8.0
0.091,1000.0,8.0
0.092,1000.0,8.0
0.093,1000.0,8.0
0.094,1000.0,8.0
0.095,1000.0,8.0
0.096,1000.0,8.0
0.097,1000.0,8.0
0.098,1000.0,8.0
0.099,1000.0,8.0
0.1,1000.0,8.0
0.101,1000.0,8.0
0.10200000000000001,1000.0,8.0
0.10300000000000001,1000.0,8.0
0.10400000000000001,1000.0,8.0
0.105,1000.0,8.0
