time_s,T_ring_bulk_C,T_steel_bulk_C,T_surface_peak_C,mu_effective,Q_fric_W,wear_rate_m_per_s,wear_depth_m,tau_fric_Nm,phi_rel_dot_rad_per_s
0.0,108.94533383612874,105.15028410077883,326.7069946317897,0.41008,75.7792726658763,2.651764868317898e-11,1.325882434158949e-11,77.50511999999999,0.9777324732337207
0.5,108.24127756173573,105.2818587519103,242.771231724096,0.2229301005806994,149.55677518401018,4.972991383122413e-11,3.8123781257201554e-11,42.133789009752185,3.5495686169927447
1.0,107.60643207098684,105.38106767156489,278.7919494341533,0.2836721742852352,98.78134763764295,3.3992497039155025e-11,5.5120029776779066e-11,53.61404093990945,1.8424529452715002
1.5,106.96430148041473,105.4440988210831,145.62773402912956,0.2566067536527512,13.454557549765692,2.693545210970434e-12,5.646680238226428e-11,45.1013805147884,0.29831808685665495
2.0,106.61160999215738,105.50494483507579,329.09010793040807,0.3686699681957803,102.70437937134861,4.0777766624953593e-11,7.685568569474108e-11,69.67862398900247,1.4739725541589148
2.5,106.40608279449293,105.5617404402911,240.74527252781806,0.22261398411714442,140.48758783459937,4.607610772649735e-11,9.989373955798975e-11,42.07404299814029,3.33905605032559
3.0,106.16985842597006,105.60199101261269,279.621328198898,0.28742709267322164,90.98267246173921,3.11003627423055e-11,1.1544392092914249e-10,54.32372051523889,1.674824028965703
3.5,105.85627639764627,105.6197729217847,141.36895381797612,0.2583533357665818,12.358120596149067,2.264343122154313e-12,1.1657609249021964e-10,48.828780459883966,0.25309091236268066
4.0,105.73272347064209,105.64192994252282,332.9980552720141,0.3766022488630349,82.69641247163896,3.321075016354779e-11,1.3318146757199353e-10,71.17782503511359,1.1618283142375172
4.5,105.72068251312426,105.66864843462486,240.02094684387714,0.2225494806839528,127.4924258907943,4.160017793553295e-11,1.5398155653976e-10,42.06185184926708,3.0310702046043136
5.0,105.64888496589884,105.68611084096037,281.47860090666535,0.291368093476374,84.36892494963952,2.8865344591383115e-11,1.6841422883545157e-10,55.06856966703468,1.53207038896717
5.5,105.45904469048286,105.68542435629068,110.37017813071174,0.25881075889710625,1.7090341739027697,2.946947863095731e-13,1.6856157622860634e-10,48.65534135810067,0.035125314635537565
6.0,105.47462146063943,105.69752304177139,351.59908753802813,0.4078537922623831,95.9444702139525,4.1690455866542614e-11,1.8940680416187765e-10,77.0843667375904,1.244668332563014
6.5,105.54429700254092,105.71492555733944,232.2490508949843,0.20996293134245425,123.33059343373357,4.025537778345207e-11,2.0953449305360368e-10,39.68299402372385,3.107895370999535
7.0,105.54551387295412,105.72644348300057,283.8814804159474,0.2955212109163795,84.92688844681462,2.919218600756883e-11,2.241305860573881e-10,55.85350886319572,1.5205291516210648
7.5,105.4291127186738,105.72364295325787,137.3962514972341,0.2553963207711105,11.124302216456531,2.0444801072237903e-12,2.25152826111e-10,48.26990462573989,0.23046041426244096
8.0,105.47483469099984,105.73248643486312,334.46922648739934,0.37946748078109793,88.56719395104518,3.5739006330551854e-11,2.4302232927627594e-10,71.7193538676275,1.2349134393278802
8.5,105.61190909614446,105.75239400818096,238.63960101035218,0.22044069607473307,141.46434885141576,4.6122213115919304e-11,2.660834358342356e-10,41.66329155812455,3.3954194102513133
9.0,105.64812115589224,105.76600849659194,280.887504455166,0.2903898510026923,91.64258365149728,3.13144653162047e-11,2.8174066849233795e-10,54.88368183950885,1.6697601286932424
9.5,105.53616217462397,105.76357965385091,117.23837867870148,0.25819727648977986,4.0722754042996225,8.5303897265192e-13,2.8216718797866393e-10,40.6117996606706,0.10027320725319414
10.0,105.58042637805895,105.77241896699891,332.4758386455079,0.4009799732472397,78.95774329616991,2.9651322079479536e-11,2.969928490184037e-10,75.7852149437283,1.0418621013979739
10.5,105.71840972708134,105.79259983315764,240.3708453234348,0.22313306503251526,133.52120908302157,4.3567245802829544e-11,3.187764719198185e-10,42.17214929114538,3.166099222527797
