
time_s,omega_rad_s,rpm
0.0,0.0,0.0
0.001,0.2,1.909859317102744
0.002,0.39998,3.8195276482737777
0.003,0.599940002,5.729005012611694
0.004,0.7998800079998,7.638291429213178
0.005,0.999800019999,9.547386917173
0.006,1.1997000399970001,11.456291495584027
0.007,1.3995800699930006,13.365005183537214
0.008,1.5994401119860013,15.273528000121605
0.009000000000000001,1.7992801679748027,17.181859964424337
0.01,1.9991002399580053,19.090001095530642
0.011,2.1989003299340095,20.99795141252383
0.012,2.398680439901016,22.905710934485324
0.013000000000000001,2.5984405718570263,24.81327968049462
0.014,2.7981807277998407,26.72065766962932
0.015,2.997900909727061,28.6278449209651
0.016,3.1976011196360883,30.534841453575748
0.017,3.3972813595241247,32.44164728653313
0.018000000000000002,3.596941631388172,34.34826243890723
0.019,3.7965819372250333,36.25468692976607
0.02,3.9962022790313108,38.16092077817584
0.021,4.195802658803408,40.06696400320077
0.022,4.395383078537527,41.9728166239032
0.023,4.594943540229673,43.87847865934354
0.024,4.794484045875651,45.78395012858036
0.025,4.994004597471063,47.689231050670244
0.026000000000000002,5.193505197011316,49.59432144466792
0.027,5.392985846491615,51.4992213296262
0.028,5.592446547906966,53.40393072459599
0.029,5.791887303252175,55.308449648626265
0.03,5.99130811452185,57.21277812076415
0.031,6.1907089837103975,59.116916160054814
0.032,6.3900899128120265,61.02086378554155
0.033,6.589450903820746,62.924621016265746
0.034,6.788791958730363,64.82818787126686
0.035,6.98811307953449,66.73156436958249
0.036000000000000004,7.1874142682265365,68.63475053024827
0.037,7.386695526799714,70.53774637229797
0.038,7.585956857247034,72.4405519147635
0.039,7.785198261561309,74.34316717667477
0.04,7.984419741735152,76.24559217705983
0.041,8.18362129976098,78.14782693494487
0.042,8.382802937631004,80.04987146935413
0.043000000000000003,8.58196465733724,81.95172579930993
0.044,8.781106460871506,83.85338994383274
0.045,8.980228350225419,85.75486392194111
0.046,9.179330327390396,87.65614775265165
0.047,9.378412394357657,89.55724145497912
0.048,9.57747455311822,91.45814504793637
0.049,9.776516805662908,93.35885855053431
0.05,9.975539153982341,95.259381981782
0.051000000000000004,10.174541600066943,97.15971536068658
0.052000000000000005,10.373524145906936,99.05985870625324
0.053,10.572486793492345,100.95981203748535
0.054,10.771429544812996,102.85957537338435
0.055,10.970352401858515,104.75914873294975
0.056,11.169255366618328,106.6585321351792
0.057,11.368138441081667,108.55772559906843
0.058,11.567001627237559,110.45672914361127
0.059000000000000004,11.765844927074836,112.35554278779966
0.06,11.964668342582128,114.25416655062362
0.061,12.16347187574787,116.15260045107131
0.062,12.362255528560295,118.05084450812895
0.063,12.56101930300744,119.94889874078088
0.064,12.759763201077138,121.84676316800955
0.065,12.95848722475703,123.74443780879548
0.066,13.157191376034556,125.64192268211735
0.067,13.355875656896952,127.53921780695188
0.068,13.554540069331262,129.4363232022739
0.069,13.75318461532433,131.33323888705644
0.07,13.951809296862796,133.2299648802705
0.07100000000000001,14.15041411593311,135.1265012008852
0.07200000000000001,14.348999074521517,137.02284786786785
0.073,14.547564174614065,138.91900490018384
0.074,14.746109418196603,140.81497231679654
0.075,14.944634807254783,142.7107501366676
0.076,15.143140343774057,144.60633837875667
0.077,15.341626029739679,146.50173706202153
0.078,15.540091867136706,148.3969462054181
0.079,15.738537857949993,150.29196582790027
0.08,15.936964004164198,152.18679594842024
0.081,16.135370307763782,154.08143658592815
0.082,16.333756770733007,155.9758877593723
0.083,16.532123395055933,157.87014948769914
0.084,16.730470182716427,159.76422178985308
0.085,16.928797135698154,161.65810468477684
0.08600000000000001,17.127104255984584,163.55179819141108
0.08700000000000001,17.325391545558986,165.4453023286947
0.088,17.52365900640443,167.33861711556457
0.089,17.72190664050379,169.23174257095576
0.09,17.92013444983974,171.12467871380142
0.091,18.118342436394755,173.0174255630328
