time,h,v
0.0,1.0,0.0
0.004,0.99994114,-0.039240000000000004
0.008,0.99972532,-0.07848000000000001
0.012,0.9993525400000001,-0.11772
0.016,0.9988228000000001,-0.15696000000000004
0.02,0.9981361000000002,-0.1962000000000001
0.024,0.9972924400000003,-0.23544000000000015
0.028,0.9962918200000004,-0.27468000000000015
0.032,0.9951342400000005,-0.3139200000000001
0.036000000000000004,0.9938197000000006,-0.35316000000000003
0.04,0.9923482000000008,-0.39239999999999997
0.044,0.990719740000001,-0.4316399999999999
0.048,0.9889343200000011,-0.47087999999999985
0.052000000000000005,0.9869919400000013,-0.5101199999999998
0.056,0.9848926000000016,-0.5493599999999997
0.06,0.9826363000000014,-0.5885999999999997
0.064,0.9802230400000012,-0.6278399999999996
0.068,0.977652820000001,-0.6670799999999996
0.07200000000000001,0.9749256400000008,-0.7063199999999995
0.076,0.9720415000000007,-0.7455599999999994
0.08,0.9690004000000005,-0.7847999999999994
0.084,0.9658023400000004,-0.8240399999999993
0.088,0.9624473200000003,-0.8632799999999993
0.092,0.9589353400000002,-0.9025199999999992
0.096,0.9552664000000002,-0.9417599999999992
0.1,0.9514405000000001,-0.9809999999999991
0.10400000000000001,0.9474576400000001,-1.0202399999999994
0.108,0.9433178200000001,-1.0594799999999998
0.112,0.9390210400000001,-1.0987200000000001
0.116,0.9345673000000001,-1.1379600000000005
0.12,0.9299566000000001,-1.177200000000001
0.124,0.9251889400000002,-1.2164400000000013
0.128,0.9202643200000002,-1.2556800000000017
0.132,0.9151827400000003,-1.294920000000002
0.136,0.9099442000000004,-1.3341600000000025
0.14,0.9045487000000005,-1.3734000000000028
0.14400000000000002,0.8989962400000007,-1.4126400000000032
0.148,0.8932868200000008,-1.4518800000000036
0.152,0.887420440000001,-1.491120000000004
0.156,0.8813971000000012,-1.5303600000000044
0.16,0.8752168000000013,-1.5696000000000048
0.164,0.8688795400000011,-1.6088400000000052
0.168,0.8623853200000009,-1.6480800000000055
0.17200000000000001,0.8557341400000007,-1.687320000000006
0.176,0.8489260000000005,-1.7265600000000063
0.18,0.8419609000000003,-1.7658000000000067
0.184,0.8348388400000002,-1.805040000000007
0.188,0.8275598200000001,-1.8442800000000075
0.192,0.8201238399999999,-1.8835200000000079
0.196,0.8125308999999998,-1.9227600000000082
0.2,0.8047809999999997,-1.9620000000000086
0.20400000000000001,0.7968741399999997,-2.001240000000009
0.20800000000000002,0.7888103199999996,-2.0404800000000085
0.212,0.7805895399999996,-2.079720000000008
0.216,0.7722117999999996,-2.1189600000000075
0.22,0.7636770999999996,-2.158200000000007
0.224,0.7549854399999996,-2.1974400000000065
0.228,0.7461368199999996,-2.236680000000006
0.232,0.7371312399999996,-2.2759200000000055
0.23600000000000002,0.7279686999999997,-2.315160000000005
0.24,0.7186491999999998,-2.3544000000000045
0.244,0.7091727399999999,-2.393640000000004
0.248,0.69953932,-2.4328800000000035
0.252,0.6897489400000001,-2.472120000000003
0.256,0.6798016000000002,-2.5113600000000025
0.26,0.6696973000000004,-2.550600000000002
0.264,0.6594360400000006,-2.5898400000000015
0.268,0.6490178200000007,-2.629080000000001
0.272,0.638442640000001,-2.6683200000000005
0.276,0.627710500000001,-2.70756
0.28,0.6168214000000007,-2.7467999999999995
0.28400000000000003,0.6057753400000006,-2.786039999999999
0.28800000000000003,0.5945723200000004,-2.8252799999999985
0.292,0.5832123400000002,-2.864519999999998
0.296,0.5716954000000001,-2.9037599999999975
0.3,0.5600215,-2.942999999999997
0.304,0.5481906399999998,-2.9822399999999964
0.308,0.5362028199999997,-3.021479999999996
0.312,0.5240580399999997,-3.0607199999999954
0.316,0.5117562999999996,-3.099959999999995
0.32,0.49929759999999956,-3.1391999999999944
0.324,0.48668193999999954,-3.178439999999994
0.328,0.4739093199999995,-3.2176799999999934
0.332,0.4609797399999995,-3.256919999999993
0.336,0.44789319999999955,-3.2961599999999924
0.34,0.4346496999999996,-3.335399999999992
0.34400000000000003,0.42124923999999964,-3.3746399999999914
0.34800000000000003,0.4076918199999997,-3.413879999999991
0.352,0.3939774399999998,-3.4531199999999904
0.356,0.3801060999999999,-3.49235999999999
0.36,0.3660778,-3.5315999999999894
0.364,0.35189254000000014,-3.570839999999989
0.368,0.3375503200000003,-3.6100799999999884
0.372,0.32305114000000024,-3.649319999999988
0.376,0.3083950000000002,-3.6885599999999874
0.38,0.2935819000000002,-3.727799999999987
0.384,0.27861184000000017,-3.7670399999999864
0.388,0.2634848200000002,-3.806279999999986
0.392,0.2482008400000002,-3.8455199999999854
0.396,0.23275990000000024,-3.884759999999985
0.4,0.2171620000000003,-3.9239999999999844
0.404,0.20140714000000037,-3.963239999999984
0.40800000000000003,0.18549532000000046,-4.002479999999983
0.41200000000000003,0.16942654000000057,-4.041719999999983
0.41600000000000004,0.15320080000000066,-4.080959999999982
0.42,0.1368181000000007,-4.120199999999982
0.424,0.12027844000000074,-4.159439999999981
0.428,0.1035818200000008,-4.198679999999981
0.432,0.08672824000000087,-4.23791999999998
0.436,0.06971770000000097,-4.27715999999998
0.44,0.05255020000000105,-4.316399999999979
0.444,0.03522574000000113,-4.355639999999979
0.448,0.017744320000001215,-4.394879999999978
0.452,0.00010594000000130072,-4.434119999999978
0.456,0.009302822999999953,3.0813209999999844
0.46,0.021569246999999892,3.042080999999985
0.464,0.033678710999999834,3.0028409999999854
0.468,0.04563121499999978,2.963600999999986
0.47200000000000003,0.057426758999999716,2.9243609999999864
0.47600000000000003,0.06906534299999967,2.885120999999987
0.48,0.08054696699999964,2.8458809999999874
0.484,0.09187163099999958,2.806640999999988
0.488,0.10303933499999952,2.7674009999999885
0.492,0.11405007899999949,2.728160999999989
0.496,0.12490386299999946,2.6889209999999895
0.5,0.13560068699999941,2.64968099999999
0.504,0.14614055099999937,2.6104409999999905
0.508,0.15652345499999934,2.571200999999991
0.512,0.16674939899999933,2.5319609999999915
0.516,0.17681838299999933,2.492720999999992
0.52,0.18673040699999932,2.4534809999999925
0.524,0.19648547099999925,2.414240999999993
0.528,0.2060835749999992,2.3750009999999935
0.532,0.21552471899999914,2.335760999999994
0.536,0.22480890299999912,2.2965209999999945
0.54,0.2339361269999991,2.257280999999995
0.544,0.2429063909999991,2.2180409999999955
0.548,0.25171969499999913,2.178800999999996
0.552,0.26037603899999917,2.1395609999999965
0.556,0.2688754229999992,2.100320999999997
0.56,0.2772178469999993,2.0610809999999975
0.5640000000000001,0.2854033109999994,2.021840999999998
0.5680000000000001,0.29343181499999943,1.982600999999998
0.5720000000000001,0.3013033589999993,1.9433609999999977
0.5760000000000001,0.30901794299999924,1.9041209999999973
0.58,0.31657556699999917,1.864880999999997
0.584,0.3239762309999991,1.8256409999999965
0.588,0.3312199349999991,1.7864009999999961
0.592,0.33830667899999906,1.7471609999999957
0.596,0.34523646299999905,1.7079209999999954
0.6,0.35200928699999906,1.668680999999995
0.604,0.3586251509999991,1.6294409999999946
0.608,0.36508405499999913,1.5902009999999942
0.612,0.3713859989999992,1.5509609999999938
0.616,0.37753098299999927,1.5117209999999934
0.62,0.38351900699999913,1.472480999999993
0.624,0.389350070999999,1.4332409999999927
